X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.09,-0.17,1.31,8761,11003,71.42857143,,99.94253829,4,,,
0.11,-0.16,1.08,8794,11039,96.77419355,,81.89146543,4,,,
0.08,0.08,0.95,8749,10999,142.8571429,,85.15843692,4,,,
0.19,-0.11,0.98,8801,11044,93.75,,91.48509633,4,,,
0.2,-0.31,0.86,8783,11009,100,,99.94259125,4,,,
-0.05,-0.26,0.66,8807,10990,107.1428571,,85.999522,4,,,
-0.15,-0.16,0.57,8748,11015,111.1111111,,94.98765089,4,,,
-0.2,-0.14,0.64,8795,11053,103.4482759,,95.06720102,4,,,
-0.22,-0.19,0.56,8766,11038,136.3636364,,96.96662797,4,,,
-0.24,-0.21,0.71,8762,11020,103.4482759,,97.459706,4,,,
-0.21,-0.37,0.95,8747,11055,71.42857143,,86.0139278,4,,,
-0.22,-0.49,0.99,8768,10990,96.77419355,,94.9876509,4,,,
-0.2,-0.54,1.24,8787,11032,142.8571429,,95.06720102,4,,,
-0.17,-0.51,1.42,8696,10989,93.75,,96.96662793,4,,,
-0.19,-0.32,1.27,8777,10976,100,,97.45970638,4,,,
-0.3,-0.66,1.23,8749,11079,107.1428571,,86.01392775,4,,,
-0.09,-0.55,1.14,8755,10959,111.1111111,,95.00040242,4,,,
0.03,-0.6,1.01,8745,11045,103.4482759,,94.89538326,4,,,
-0.05,-0.46,0.69,8749,11034,136.3636364,,96.32725493,4,,,
0.13,-0.46,0.84,8782,10959,111.1111111,,96.53206127,4,,,
0.04,-0.22,0.88,8815,11043,130.4347826,,95.22025492,4,,,
0.04,-0.14,0.84,8776,11079,111.1111111,,83.08909259,4,,,
0.05,-0.06,0.61,8803,11045,100,,99.62690286,4,,,
-0.17,-0.09,0.52,8730,11003,71.42857143,,89.1994528,4,,,
-0.19,-0.19,0.6,8703,11013,103.4482759,,90.90549881,4,,,
-0.2,-0.19,0.9,8757,11097,120,,83.36443814,4,,,
-0.2,-0.24,1.05,8745,11023,115.3846154,,99.62421085,4,,,
-0.19,-0.2,1.2,8780,10983,166.6666667,,89.20010014,4,,,
-0.19,-0.24,1.34,8759,11028,88.23529412,,95.17448122,4,,,
-0.15,-0.15,1.11,8729,10968,90.90909091,,94.84113978,4,,,
0.05,-0.31,1.4,8741,10981,90.90909091,,96.31161164,4,,,
0.06,-0.21,1.24,8775,11060,93.75,,96.51336703,4,,,
0.13,-0.19,1.08,8744,10964,130.4347826,,99.93810925,4,,,
0.03,0.03,1.1,8775,11024,68.18181818,,85.09852669,4,,,
0.03,-0.21,1.09,8730,11004,83.33333333,,95.17448121,4,,,
0.15,-0.24,1.01,8763,11048,96.77419355,,94.84113978,4,,,
0.06,-0.17,0.69,8680,10990,96.77419355,,96.31161161,4,,,
-0.2,-0.14,0.55,8783,11059,103.4482759,,96.51336699,4,,,
-0.21,-0.16,0.6,8750,11021,120,,99.93810923,4,,,
-0.2,-0.19,0.68,8742,10965,100,,85.09852669,4,,,
-0.24,-0.28,0.81,8703,11025,65.2173913,,95.06890518,4,,,
-0.25,-0.31,0.9,8727,11008,66.66666667,,95.3080545,4,,,
-0.31,-0.3,1.08,8776,11002,73.17073171,,96.21865383,4,,,
-0.3,-0.46,1.25,8748,11012,62.5,,86.91244886,4,,,
-0.29,-0.4,1.12,8721,11063,54.54545455,,97.29855121,4,,,
